MTMCommunications	
NORTEL	北电网络
Vicos	
Storage Appliance Corporation	
ADHOC TECHNOLOGIES	
Cardiopulmonary Corp	
INTERLINK COMMUNICATIONS LTD.	
Paltronics	
Essential Products, Inc.	
Adachi-Syokai Co., Ltd.	
DriveScale, Inc.	
Embedian, Inc.	
SJ Tek Co. Ltd	
SANTEC	
Xin Hua Control Engineering Co.,Ltd.	新华控制工程有限公司
Shenzhen Doov Technology Co.,Ltd	深圳市朵唯志远科技有限公司
Renasis, LLC	
Emcore Corporation	
InfiniWing, Inc.	
Carestream Health, Inc.	
BCOM ELECTRONICS INC.	公信电子股份有限公司
Bils Technology Inc	
DBTEL INCORPORATED	鼎创达股份有限公司
Shenzhen Prifox Innovation Technology Co., Ltd.	深圳市西谷创新科技有限公司
RtBrick Inc.	
Entrada Networks	
GUANGZHOU HKUST FOK YING TUNG RESEARCH INSTITUTE	
BEP Marine	
ELIM PRODUCT CO.	
NovaNET Learning, Inc.	
TRI-DATA	
NETWORK RESOURCES CORPORATION	
CYCLE COMPUTER CORPORATION, INC.	
Newbest Development Limited	
CIMETRICS, INC.	
Microsoft	微软
RapidWAN, Inc.	
Rapid Mobile (Pty) Ltd	
HARTEC Corporation	
Digital 5, Inc.	
ADTEC PRODUCTIONS, INC.	
HIPPI NETWORKING FORUM	
M & N GmbH	
InoTec GmbH Organisationssysteme	德国韦尔费尔斯海姆的电子制造商
ACCESS CO., LTD.	爱可信
NanJing Chaoran Science & Technology Co.,Ltd.	
Shenzhen Y&D Electronics Co.,LTD.	深圳市永达电子股份有限公司
Laser Light Engines	
Eltromat GmbH	
I-CUBED LIMITED	
Zenisu Keisoku Inc.	
KRUPP ATLAS ELECTRONIK GMBH	
Compressor Controls Corp	
B&B EXPORTING LIMITED	
MANYCOLORS, INC.	
ServerU Inc	
Fort-Telecom ltd.	
Lobos, Inc.	
Chipsip Technology Co., Ltd.	钜景科技
AMBER wireless GmbH	
BHARAT ELECTRONICS	巴拉特電子有限
SNR Inc.	
Necsom, Ltd.	
Beijing Ctimes Digital Technology Co., Ltd.	北京航天器数码科技有限公司
Netgenetech.co.,ltd.	
ITTC, University of Kansas	
Honeywld Technology Corp.	關於瀚誼世界
CyberNet Inc.	
JWTrading Co., Ltd	
BOCOM SECURITY(ASIA PACIFIC) LIMITED	
TRANCELL SYSTEMS	
Scalent Systems, Inc.	
Samsung Thales	
TAKT Corporation	
Parade Technologies, Ltd.	
Dreamtech Co., Ltd	
Top Global Technology, Ltd.	
SHIFT GmbH	
Siemens Industry, Inc.	西门子公司
KAREL INC.	
Intracom S.A.	
INTELLICOM, INC.	
YODA COMMUNICATIONS, INC.	
AMEC	
SteelSeries ApS	赛睿
Sensorist ApS	
NETCORE SYSTEMS, INC.	
Liang Herng Enterprise,Co.Ltd.	
iStor Networks, Inc.	
JC INFORMATION SYSTEMS	
ITian Coporation	
LITE-ON COMMUNICATIONS, INC.	
SOMO HOLDINGS & TECH. CO.,LTD.	
Signalion GmbH	国家仪器
SHENZHEN PROGRESS&WIN TECHNOLOGY CO.,LTD	
INSYSTEC	
Impatica Inc.	
RELIANCE COMM/TEC, R-TEC	
Liteon Technology Corporation	光宝科技
Silicon Valley Global Marketing	
SAFETY MANAGEMENT SYSTEMS	
JIANGSU HENGSION ELECTRONIC S and T CO.,LTD	恒信和安
Gincom Technology Corp.	
Avanex Corporation	
Gambro Lundia AB	
TELESCIENCES CO SYSTEMS, INC.	
APPLIED CREATIVE TECHNOLOGY, INC.	
DIGITVIEW TECHNOLOGY CO., LTD.	
BDT Büro und Datentechnik GmbH & Co.KG	
Load Technology, Inc.	
J. MORITA MFG. CORP.	
NETCOMM LIMITED	
Vinci Labs Oy	
IRIS SENSORS	
Viseon, Inc.	
Synaptics, Inc	
Rayzone Corporation	
RSD Communications Ltd	
Shenzhen Unistar Communication Co.,LTD	深圳市合晟达科技有限公司
Tundra Semiconductor Corp.	
TAG ELECTRONIC SYSTEMS	
Cubro Acronet GesmbH	
HDPRO CO., LTD.	
Broadband Forum	宽频论坛
PSION DACOM PLC.	斑马技术
L-tek d.o.o.	
Mayfield Robotics	
Sartorius Mechatronics T&H GmbH	
TURBONET COMMUNICATIONS, INC.	
Magna Technology SL	
EYEVIEW ELECTRONICS	立巨电子股份有限公司
Winstars Technology Ltd	深圳得星科技有限公司
SPHINX Electronics GmbH & Co KG	
Snap, Inc.	
ETIC Telecommunications	
EOps Technology Limited	
Nanjing Cocomm electronics co., LTD	
Lantiq Deutschland GmbH	
EL-TECH, INC.	
DIGITAL FORECAST	
CAMTRONICS MEDICAL SYSTEMS	
PRF Co., Ltd.	
BeiJing NuQX Technology CO.,LTD	北京欣全向科技有限公司
Inspur Group Co., Ltd.	
SHENZHEN ALONG INVESTMENT CO.,LTD	
PROTON ELECTRONIC INDUSTRIAL CO., LTD.	
SANYO DENKI CO., LTD.	山洋電氣
S.W.A.C. Schmitt-Walter Automation Consult GmbH	
Honghao Mingchuan Technology (Beijing) CO.,Ltd.	弘浩明传科技（北京）有限公司
HUAWEI TECHNOLOGIES CO.,LTD	华为
Hangzhou Tuners Electronics Co., Ltd	杭州图南电子有限公司
Oneline AG	
PARSYTEC GMBH	
Soc. Coop. Bilanciai	
NetICs, Inc.	
AddPac Technology Co., Ltd.	
VIA TECHNOLOGIES, INC.	威盛电子
CET Technologies Pte Ltd	
Basler AG	宝视纳公司
Capelon AB	
Sumitomo Electric Industries,Ltd	住友电气工业株式会社
IMAGIC, INC.	
Corecess Inc.	
PRIMMCON INDUSTRIES INC	
Shanghai LISTEN TECH.LTD	上海灵信信息科技有限公司
PCO AG	
TECHNOSOFT INTERNATIONAL SRL	
USAG	
VLSI TECHNOLOGY INC.	
Dejai	
Geutebrück GmbH	
Clear Edge Networks	
MAN Diesel SE	曼恩动力设备公司
BQ	
Qibixx AG	
Allied Telesyn Inc.	
Radio Datacom LLC	
Energica Motor Company SpA	
BBN	
IRTrans GmbH	
Datel Electronics	
PULSE ELECTRONICS, INC.	
Chi Mei Communication Systems, Inc	奇美通讯股份有限公司
HandEra, Inc.	
IRD A/S	
Availink, Inc.	
GSI Electronics Inc.	
iTEC Technologies Ltd.	
BlueN	
FUTURE SYSTEMS, INC.	
Hanyang Navicom Co.,Ltd.	
Pou Yuen Tech Corp. Ltd.	宝元科技股份有限公司
Italian Institute of Technology	意大利技术研究院
GreenWave Reality Inc	
Beijing HuaqinWorld Technology Co,Ltd	北京华勤天地科技有限公司
Amper	
Avalue Technology, Inc.	安勤科技
Virtual Computer Inc.	
PROVISION THAI CO., LTD.	
SCLE SFE	
1Verge Internet Technology (Beijing) Co., Ltd.	合一集团
Whitesky Science & Technology Co.,Ltd.	
Technico Japan Corporation	
DeskStation Technology, Inc.	
2N TELEKOMUNIKACE a.s.	
ZeeVee, Inc.	
HomeLogic LLC	
Albrecht Jung GmbH & Co. KG	
Ninelanes	
Shenzhen Ogemray Technology Co., Ltd.	深圳市奥金瑞科技有限公司
DK Networks	
TSL PPL	
ABB Power Systems Power Generation	
Shen Zhen Shi Xin Zhong Xin Technology Co.,Ltd.	深圳市芯中芯科技有限公司
Deciso B.V.	
Edwards Ltd.	
UNITED NETWORKS INC.	
Kaba Benzing GmbH	
People Power Company	
Abelko Innovation	
HIT Incorporated	宣威科技
Syes srl	
Ouman Oy	
JayBird LLC	
System Base Co., Ltd.	
Blueone Technology Co.,Ltd	
802automation Limited	
LG Innotek	LG
TRISON TECHNOLOGY CORPORATION	鼎群科技
TRENTON TECHNOLOGY INC.	
Innovative Converged Devices Inc	
SanLogic Inc	
Real Digital Media	
BCTech	
EDEN SISTEMAS DE COMPUTACAO SA	
Megger	
Xorcom Ltd.	
White Rock Networks	
